"Year","White","Black","Asian","Native","Hispanic"
"1992","17.5","1.1","1.3","3.3","3.9"
"1993","18.1","1.1","1.3","3.3","4.0"
"1994","18.7","1.1","1.4","3.4","4.0"
"1995","19.3","1.1","1.4","3.4","4.1"
"1996","19.9","1.1","1.4","3.4","4.2"
"1997","20.5","1.1","1.4","3.4","4.2"
"1998","21.2","1.1","1.4","3.5","4.3"
"1999","21.9","1.1","1.4","3.5","4.3"
"2000","22.6","1.1","1.4","3.5","4.4"
"2001","23.3","1.1","1.4","3.6","4.4"
"2002","24.1","1.1","1.4","3.6","4.5"
"2003","24.9","1.1","1.4","3.6","4.5"
"2004","25.7","1.1","1.4","3.7","4.6"
"2005","26.5","1.1","1.5","3.7","4.6"
"2006","26.9","1.1","1.5","3.7","4.7"
"2007","27.4","1.1","1.5","3.8","4.8"
"2008","27.9","1.1","1.5","3.8","4.8"
"2009","28.3","1.1","1.5","3.8","4.2"
"2010","28.8","1.1","1.5","3.9","3.6"
