"Year","White, 1975-2010","White, 1975-2010, Modeled (from Joinpoint)","Black, 1975-2010","Black, 1975-2010, Modeled (from Joinpoint)","Asian/Pacific Islander, 1992-2010","Asian/Pacific Islander, 1992-2010, Modeled (from Joinpoint)","American Indian/Alaska Native(c), 1992-2010","American Indian/Alaska Native(c), 1992-2010, Modeled (from Joinpoint)","Hispanic(d), 1992-2010","Hispanic(d), 1992-2010, Modeled (from Joinpoint)",
"1975","       2.3","       2.4","       0.5","       0.6"," "," "," "," "," "," ",
"1976","       2.5","       2.4","       0.5","       0.6"," "," "," "," "," "," ",
"1977","       2.5","       2.5","       0.5","       0.5"," "," "," "," "," "," ",
"1978","       2.5","       2.5","       0.5","       0.5"," "," "," "," "," "," ",
"1979","       2.7","       2.6","       0.5","       0.5"," "," "," "," "," "," ",
"1980","       2.6","       2.6","       0.5","       0.5"," "," "," "," "," "," ",
"1981","       2.7","       2.6","       0.6","       0.5"," "," "," "," "," "," ",
"1982","       2.7","       2.7","       0.5","       0.5"," "," "," "," "," "," ",
"1983","       2.7","       2.7","       0.5","       0.5"," "," "," "," "," "," ",
"1984","       2.8","       2.8","       0.5","       0.5"," "," "," "," "," "," ",
"1985","       2.8","       2.8","       0.5","       0.5"," "," "," "," "," "," ",
"1986","       2.9","       2.9","       0.5","       0.5"," "," "," "," "," "," ",
"1987","       2.9","       2.9","       0.6","       0.5"," "," "," "," "," "," ",
"1988","       3.0","       3.0","       0.5","       0.5"," "," "," "," "," "," ",
"1989","       3.0","       3.0","       0.6","       0.5"," "," "," "," "," "," ",
"1990","       3.1","       3.0","       0.5","       0.5"," "," "," "," "," "," ",
"1991","       3.0","       3.0","       0.6","       0.5"," "," "," "," "," "," ",
"1992","       3.0","       3.0","       0.5","       0.5","       0.5","       0.4","       1.2","       0.8","       0.9","       0.8",
"1993","       3.0","       3.0","       0.5","       0.5","       0.3","       0.4","       0.7","       0.8","       0.7","       0.8",
"1994","       3.0","       3.0","       0.4","       0.5","       0.4","       0.4","       0.3","       0.8","       0.7","       0.8",
"1995","       3.0","       3.0","       0.5","       0.5","       0.3","       0.4","       0.9","       0.9","       0.8","       0.8",
"1996","       3.1","       3.0","       0.4","       0.5","       0.4","       0.4","       0.9","       0.9","       0.9","       0.8",
"1997","       3.1","       3.0","       0.6","       0.5","       0.6","       0.4","       0.2","       0.9","       0.9","       0.8",
"1998","       3.1","       3.0","       0.5","       0.5","       0.3","       0.4","       1.1","       0.9","       0.9","       0.8",
"1999","       3.0","       3.1","       0.4","       0.5","       0.3","       0.4","       0.7","       0.9","       0.8","       0.8",
"2000","       3.0","       3.1","       0.5","       0.5","       0.3","       0.4","       0.7","       1.0","       0.8","       0.8",
"2001","       3.0","       3.1","       0.4","       0.5","       0.3","       0.4","       0.9","       1.0","       0.8","       0.8",
"2002","       3.0","       3.1","       0.4","       0.5","       0.5","       0.4","       1.5","       1.0","       0.8","       0.8",
"2003","       3.0","       3.1","       0.4","       0.5","       0.4","       0.4","       1.2","       1.0","       0.8","       0.8",
"2004","       3.0","       3.1","       0.4","       0.5","       0.2","       0.4","       0.7","       1.0","       0.6","       0.8",
"2005","       3.1","       3.1","       0.4","       0.4","       0.5","       0.4","       1.2","       1.1","       0.7","       0.8",
"2006","       3.1","       3.1","       0.5","       0.4","       0.4","       0.4","       1.6","       1.1","       0.9","       0.8",
"2007","       3.1","       3.1","       0.5","       0.4","       0.4","       0.4","       1.2","       1.1","       0.9","       0.8",
"2008","       3.1","       3.1","       0.4","       0.4","       0.3","       0.4","       0.7","       1.1","       0.8","       0.8",
"2009","       3.2","       3.1","       0.4","       0.4","       0.3","       0.4","       1.2","       1.2","       0.9","       0.8",
"2010","       3.2","       3.1","       0.4","       0.4","       0.4","       0.4","       1.0","       1.2","       0.8","       0.8",
